Site,mean_chl_mg_m3,max_chl_mg_m3,min_chl_mg_m3,mean_sst_C,max_sst_C,min_sst_C,dist_200m_bath,giantkelp_stipe_density_m2,giantkelp_density_m2,Relief_index,Relief_SD,Relief_simpson,Substrate_index,Substrate_SD,Substrate_simpson,Latitude,Longitude
SCLI - Pyramid Cove,0.696817775797064,2.11013979733935,0.282718963361751,18.1380952380952,22.125,15.5625,2538.38966936601,1.06666666666667,0.194444444444444,0.646504166666667,0.462042663199721,0.306451612903226,3.71105833333333,0.525386462841398,0.258333333333334,32.81609,-118.37092
Abalone Cove Kelp West,3.68898657319055,11.7668668748735,0.622563054068694,18.0661764705882,20.2875,15.24375,2483.73582731917,2.88128507295174,0.486840628507295,0.326392087542088,0.312414872255233,0.258437420803012,3.73980202020202,0.600189754877648,0.22151623764527,33.73857,-118.387306666667
Golden Cove,3.85607065157246,9.3257248124397,0.478860952930856,18.2109375,21.4125,15.61875,2253.0225836719,0.889393939393939,0.25530303030303,0.0307954545454545,0.118563211488529,0.0588465298142718,3.70535909090909,0.691520688241476,0.266959921798632,33.75277,-118.41493
Honeymoon Cove,3.90256756514176,11.1736044518235,0.589476433709025,17.9761224489796,22.2428571428571,14.2071428571429,2595.42725497054,3.03882575757576,0.518371212121212,0.156363131313131,0.23624804686585,0.161151840990551,3.56259911616162,0.56258527620686,0.357002823938308,33.764214,-118.42529275
Marguerite Central,3.60344722972157,10.6141559114367,0.608360364435438,17.7686440677966,21.45,14.3571428571429,2295.30113912667,2.89768518518519,0.60462962962963,0.379927777777778,0.42294465531177,0.322640382317802,3.79214166666667,0.358092373451489,0.25041816009558,33.7566785,-118.418335
Point Vicente West,3.58267132242791,10.2337964918072,0.748259311400181,18.1235294117647,20.98125,15,1534.52844268868,1.88606902356902,0.283164983164983,0.512422348484849,0.508214851908249,0.412759313565766,3.6945577020202,0.505531848392515,0.277226566742696,33.73983,-118.413795
Rocky Point North,3.40453603961913,12.2916741133335,0.645540404750976,17.7001142857143,22.65,14.0625,3575.86313790864,2.24650673400674,0.264793771043771,0.0705901515151516,0.138983437667984,0.0922341696535246,3.6492595959596,0.526655307576844,0.327359617682199,33.7807425,-118.429765
120 Reef,3.68898657319055,11.7668668748735,0.622563054068694,18.0661764705882,20.2875,15.24375,2159.38603124519,2.45520833333334,0.454166666666667,0.25204375,0.360540046749896,0.24005376344086,3.584703125,0.671003799026538,0.300403225806452,33.73779,-118.392305
3 Palms East,3.99807735790523,14.1801503910276,0.478640002496216,17.9932584269663,21.6,14.98125,2590.78223766943,2.01041666666667,0.277083333333333,0.0302421875,0.0879014193849595,0.049361559139785,3.46978125,0.665583971761876,0.309408602150538,33.7168475,-118.3326175
3 Palms West,3.62239570962952,14.1801503910276,0.478640002496216,18.2539877300614,21.6,14.98125,2591.31942391938,0.967968750000002,0.0947916666666667,0.0418375,0.0884196715481429,0.0569892473118281,3.4022171875,0.782290294164775,0.360618279569893,33.7185275,-118.335335
Albondigas,3.63095679318195,9.77164451099614,0.478860952930856,17.9697580645161,21.975,14.25,1996.15815500143,1.90854166666667,0.312986111111111,0.3099375,0.384787977300834,0.282464157706093,3.86076083333333,0.300842023315668,0.116344086021505,33.7502966666667,-118.416266666667
Bunker Point,4.61484076050431,10.2069465595911,0.780742643896155,18.075,21.80625,15.91875,2327.76006613371,1.70729166666667,0.201041666666667,0.093253125,0.167990140192279,0.114549731182796,3.5363203125,0.683303788915057,0.285383064516129,33.7249075,-118.3537625
Burial Grounds,4.39980311425733,12.1784798613713,0.678161841752082,17.9289473684211,21.225,15.1125,2480.928344527,0.890104166666667,0.0799479166666668,0.060990625,0.0974739413182026,0.0620631720430107,3.465234375,0.763201632196277,0.286491935483871,33.7238925,-118.34768
Cairns,3.76475142099888,16.4835190068905,0.387574839418649,17.8298507462687,21.6375,14.7375,3543.76434684655,1.98506944444444,0.211458333333333,0.0349520833333333,0.0836393213256285,0.0542562724014337,3.48790833333333,0.675952924069432,0.333602150537635,33.7104173333333,-118.307470666667
Cape Point,4.12497352889992,13.1489779448564,0.462107369278913,18.0854304635762,21.675,15.09375,2565.30205332321,1.43671875,0.121875,0.0226859375,0.0775383157168883,0.0393481182795699,3.5272203125,0.731132700876878,0.317943548387097,33.7207215,-118.34046525
Christmas Tree Cove,3.81083634465107,12.9780708009076,0.572691061286746,17.8697395476354,22.4571428571429,14.1857142857143,2515.49379060987,3.96091820987654,0.691396604938272,0.126048611111111,0.183304089640513,0.133373158104341,3.50771666666667,0.609301533619038,0.400014934289128,33.7616266666667,-118.421833333333
Flat Rock North,3.95905172388362,7.99652081837637,1.35408896027837,17.6012658227848,22.021875,14.2875,3367.77986771,2.82847222222222,0.482986111111111,0.0376395833333333,0.0632137072876105,0.0401433691756273,2.95366458333333,0.757390863395577,0.543100358422939,33.8014706666667,-118.407387333333
Flat Rock South,4.52121516734631,10.6686709565471,1.01895349085346,17.5347826086957,21.665625,14.278125,3479.86878683438,2.04965277777778,0.380902777777778,0.11626875,0.205541520907421,0.137186379928316,3.41600833333333,0.700293827591279,0.433064516129033,33.7959803333333,-118.413648333333
Hawthorne Reef,3.52539492738301,9.77164451099614,0.478860952930856,17.8858695652174,21.975,14.25,1716.1621347318,2.37557870370371,0.388888888888889,0.121921875,0.243080103530547,0.154995519713262,3.74649791666667,0.528574757808808,0.260801224611709,33.7470125,-118.4174525
Hermosa Beach AR - Giants,6.61789344860974,17.7632577765163,1.75576466281201,18.1682926829268,22.0285714285714,15,2752.15560559758,0,0,0.01814375,0.0556903307613569,0.0336021505376344,2.80840625,1.04992305207908,0.579435483870968,33.853633,-118.412946
KOU Rock,4.25985870253054,16.0978992418287,0.458079897752388,17.8608938547486,22.0875,14.79375,2540.2486511763,2.07734375,0.31796875,0.1839734375,0.205898889365444,0.155141129032258,3.5242140625,0.61521348360737,0.351310483870968,33.7200725,-118.33944
Long Point East,3.29344727017186,9.88852803965957,0.617200716542603,18.0543238993711,22.125,15.16875,1581.01532910019,1.92161458333333,0.3046875,0.436490625,0.454842037099077,0.35184811827957,3.633609375,0.576374383782994,0.310685483870968,33.73528,-118.4016375
Long Point West,3.64057280088363,9.22195713296749,0.916401379939791,18.0104651162791,21.05625,15.69375,1753.06395757505,4.52395833333334,0.7109375,0.60785625,0.529411578581408,0.428158602150538,3.777240625,0.481240846557632,0.244758064516129,33.73727,-118.40332
Lunada Bay,3.19666029576347,11.1736044518235,0.589476433709025,17.7865591397849,22.2428571428571,14.2071428571429,2804.71447832155,2.91380208333333,0.3953125,0.152221875,0.192613182154509,0.136760752688172,3.6360875,0.522713143492863,0.322815860215054,33.77106175,-118.43168875
Marguerite East,3.60344722972157,10.6141559114367,0.608360364435438,17.7686440677966,21.45,14.3571428571429,2290.04767749987,4.0625,0.78125,0.275196875,0.385469672719553,0.258198924731183,3.688528125,0.487800176748406,0.29489247311828,33.75554,-118.417085
Marguerite West,3.60344722972157,10.6141559114367,0.608360364435438,17.7686440677966,21.45,14.3571428571429,2345.7578811341,3.34791666666667,0.57326388888889,0.165327083333333,0.208715754651527,0.149820788530466,3.72848958333333,0.431351447662418,0.269086021505376,33.7579633333333,-118.419176666667
Marina del Rey AR - F,4.61713678852747,11.3141222883388,1.78946263301699,17.4359154929577,21.0375,15.09375,9088.87856835469,0,0,0.46974375,0.393827160289633,0.311827956989247,3.65524375,0.601417056113839,0.259139784946237,33.9675965,-118.4866655
Marina del Rey AR - I,4.61713678852747,11.3141222883388,1.78946263301699,17.4359154929577,21.0375,15.09375,9217.26075255103,0,0,0.29034375,0.341051859326341,0.273655913978495,3.5101375,0.763747192701724,0.335887096774194,33.9685625,-118.485777
Marina del Rey AR - K,4.61713678852747,11.3141222883388,1.78946263301699,17.4359154929577,21.0375,15.09375,9117.83643108368,0,0,0.24394375,0.377846434356993,0.292876344086022,3.340725,0.815367301491617,0.41505376344086,33.9689735,-118.487437
Old 18th,4.39980311425733,12.1784798613713,0.678161841752082,17.9289473684211,21.225,15.1125,2548.27169112627,,,0.01310625,0.0443088242387281,0.0243279569892473,2.607884375,0.910161320315603,0.322211021505377,33.72253,-118.34414
Old Marineland,3.64057280088363,9.22195713296749,0.916401379939791,18.0104651162791,21.05625,15.69375,1998.17576460436,4.02352941176471,0.740196078431373,0.14314375,0.24659014969621,0.171102150537634,3.7641125,0.38757765002248,0.229569892473118,33.73738,-118.39501
Point Fermin,4.33884395777219,13.2715413333072,0.704758247900458,17.8881818181818,21.3375,15.6,3773.27131459013,1.2125,0.166319444444444,0.164658333333333,0.087417597323674,0.0494623655913979,3.4717625,0.633752350161246,0.375268817204301,33.7056266666667,-118.29799
Portuguese Bend,3.96129362854152,10.7621805637143,0.533098164193877,17.8453846153846,21.80625,15.39375,2489.16265850103,1.44583333333333,0.157291666666667,0.06603125,0.145678080956468,0.0921370967741935,3.689534375,0.468526396066423,0.209509408602151,33.72750175,-118.35755575
Portuguese Point,4.64093484117108,16.7099892320107,0.700502682462922,17.8444029850746,22.1678571428571,14.1857142857143,2723.20933075491,2.30486111111111,0.395486111111111,0.5880375,0.416758639647841,0.314247311827957,3.84142708333333,0.391917256108349,0.149686379928316,33.736317,-118.375510666667
Resort Point,3.54286345110064,11.1736044518235,0.589476433709025,17.8751908396947,22.2428571428571,14.2071428571429,2709.62722014129,2.7265625,0.429166666666667,0.4329578125,0.335684710120507,0.258837365591398,3.6184359375,0.509373934167208,0.303629032258065,33.76653325,-118.4277385
Ridges North,3.73484613661983,12.896124755351,0.727604948884141,17.5768248175182,22.40625,14.45625,3567.83966178758,2.47776041666667,0.374322916666667,0.2300403125,0.339289020085548,0.241465053763441,3.60154125,0.591159736927233,0.378474462365592,33.78818,-118.423965
Ridges South,3.7196471985238,12.896124755351,0.727604948884141,17.5778608027327,22.40625,14.45625,3630.53694854682,2.21380208333333,0.271614583333333,0.1416359375,0.209769252173081,0.154704301075269,3.4526609375,0.6584285838924,0.383534946236559,33.78577825,-118.42594425
Rocky Point South,3.12801279162456,7.57409780266349,0.866315578474602,17.66,21.8571428571429,14.2714285714286,3078.61370505976,2.12421875,0.270052083333333,0.1083703125,0.191517282120886,0.133165322580645,3.631053125,0.572957487632609,0.338608870967742,33.77587475,-118.4322935
Santa Monica AR - A,5.68941273441718,11.5922956536558,2.40615265538025,17.1940677966102,20.9357142857143,14.0357142857143,9852.29305817007,0,0,0.00461428571428572,0.0256579002895393,0.00921658986175116,2.81147142857143,0.87317363054891,0.523041474654378,34.00957,-118.53036
Santa Monica AR - B,5.68941273441718,11.5922956536558,2.40615265538025,17.1940677966102,20.9357142857143,14.0357142857143,9779.46217582281,0,0,0.145171428571429,0.260449985310737,0.190168970814132,2.73273571428571,1.20880330617993,0.489554531490015,34.009324,-118.531234
Santa Monica AR - C,5.68941273441718,11.5922956536558,2.40615265538025,17.1940677966102,20.9357142857143,14.0357142857143,9768.3708235793,0,0,0.292628571428571,0.39098708045879,0.315207373271889,3.14053571428571,1.18819949263404,0.382027649769585,34.008944,-118.530878
SCAI - Bird Rock,1.60948190549549,7.43641837307849,0.247141359202731,18.5669225401256,22.78125,14.90625,1160.75725235148,0.809722222222221,0.140625,0.821235416666666,0.464290045890346,0.327508960573477,3.81787083333333,0.296448996458585,0.17589605734767,33.4531475,-118.4874825
SCAI - Blue Cavern,1.77248211105951,5.90208224669068,0.22053764144765,18.4522727272727,22.95,15,997.949079415765,3.04537037037037,0.450925925925926,0.170255555555556,0.194725369787066,0.133990442054958,2.75535277777778,0.615626521400709,0.46415770609319,33.448074,-118.479277333333
SCAI - Hen Rock,2.30529453308013,9.46302261693606,0.23028720141985,18.1408163265306,22.0875,15.50625,1841.7306323436,0.0050925925925926,0.000925925925925927,0.544797222222222,0.503298458053311,0.389904420549582,3.57261944444445,0.63159025540439,0.286917562724014,33.3996366666667,-118.366496666667
SCAI - Italian Gardens,1.47537130066699,5.74743208025722,0.254086923896811,18.1225,21.6375,14.86875,1300.12723257859,0.542592592592593,0.147685185185185,0.109319444444445,0.214341385414045,0.147550776583035,2.91130833333333,0.815895030221393,0.490561529271207,33.4106413333333,-118.375503333333
SCAI - Ripper's Cove,,,,,,,1754.49024256625,0,0,0.283595833333334,0.375138988735031,0.277956989247312,3.39790833333334,0.666257189785739,0.437186379928316,33.4282885,-118.435324
Underwater Arch,3.42411786056484,9.77164451099614,0.478860952930856,17.8174342105263,21.975,14.25,2020.43636554725,0.818055555555557,0.185069444444444,0.504029166666667,0.408140310061662,0.301478494623656,3.905925,0.221022126655753,0.097715053763441,33.7516246666667,-118.417036666667
Whites Point,3.82663791458497,9.23215430116518,0.626801680869967,17.592,21.01875,14.925,2951.18468058296,0.848263888888889,0.121875,0.0698979166666667,0.0587563654935665,0.0389784946236559,3.56112916666667,0.523903528896324,0.262948028673835,33.7146966666667,-118.322996666667
SCAI - Iron Bound Cove,1.25398018580829,4.89675469835589,0.279353567997748,17.3608695652174,20.5285714285714,16.1571428571429,2289.51162346111,1.87407407407408,0.20462962962963,0.456994444444445,0.383089173173493,0.324492234169653,3.73925833333333,0.37685135540958,0.233213859020311,33.44765,-118.575492633333
Segovia,3.60344722972157,10.6141559114367,0.608360364435438,17.7686440677966,21.45,14.3571428571429,2497.58329183651,3,0.489285714285714,0.309523809523809,0.3681977580425,0.266359447004608,3.85023809523809,0.291374814027322,0.176292882744496,33.7623553333333,-118.423523
Children's Pool,4.18810449754381,12.3632684467959,1.21055198257144,18.1934210526316,22.36875,15.075,1903.60545218707,0.0466666666666668,0.00611111111111111,0.0129033333333333,0.0408880509872588,0.017921146953405,3.68821,0.632865537162451,0.222150537634409,32.8521466666667,-117.27887
Crystal Cove,5.03588695267013,14.614728032006,0.858511460079413,18.2168674698795,21.99375,15.16875,2474.64292971431,0.0211111111111111,0.00666666666666666,0.363436666666667,0.364648868154423,0.269032258064516,3.66563333333333,0.654514793946791,0.24989247311828,33.56395,-117.836073333333
Dana Point,3.76954571198586,10.9887288983111,0.807431017148417,18.5411931818182,23.7,14.6571428571429,2884.0929360076,0.273333333333333,0.04,0.17527,0.166009815996257,0.109820788530466,3.59573333333333,0.652662476394349,0.299139784946236,33.46631,-117.721753333333
Escondido West,7.51163286596921,16.3984134210703,3.21420402521317,17.4029411764706,20.2125,14.79375,4508.87850874383,2.03,0.2475,0.01774,0.054033852135372,0.0318279569892473,2.908055,1.09860820660202,0.560645161290323,34.0212175,-118.7734165
Heisler Park,4.35003917375999,13.5670688338032,0.6425692750298,18.4584507042254,22.8214285714286,14.1428571428571,2863.67720738159,1.88666666666666,0.248333333333333,0.154846666666667,0.217756691582877,0.144587813620072,3.29997,0.777260540604125,0.390681003584229,33.54058,-117.792096666667
Laguna Beach,4.99952623146668,15.1484439899403,1.09010347183134,18.6058823529412,22.4785714285714,14.9357142857143,2873.82242382515,1.00555555555556,0.127222222222222,0.0881766666666667,0.152847205036862,0.0931182795698925,3.11614,0.8287423095044,0.504301075268817,33.5309633333333,-117.780243333333
Lechuza,5.38790777917902,13.6733063767072,1.6761737104314,17.1444444444444,21.3214285714286,14.0142857142857,4401.3890846592,0.880000000000002,0.164166666666667,0.046765,0.141099398008288,0.0845161290322581,3.41937,0.822703320089204,0.361935483870968,34.032625,-118.8628395
Leucadia,5.13910415245147,17.7218338072024,0.859855260295944,18.4258389261745,23.4428571428571,14.6357142857143,4949.02423885423,,,0.00107666666666667,0.0059868434008925,0.0021505376344086,3.73548,0.514563277050242,0.176415770609319,33.06438,-117.310633333333
Little Dume West,5.02717634939506,16.028106125027,1.23412442645419,17.3130841121495,21.69375,13.875,2167.78493232923,1.02888888888889,0.0983333333333333,0.09355,0.146871539522574,0.091899641577061,3.47636666666667,0.595238822347443,0.273405017921147,34.00488,-118.789897666667
Matlahuayl,5.39648098889399,15.1526640875004,1.41392898276442,18.621,22.2428571428571,14.9357142857143,2016.49042594553,0.3475,0.0483333333333333,0.003225,0.0124865519057354,0.00623655913978495,3.67906,0.569092237927197,0.206881720430107,32.852715,-117.27038
Nicholas Canyon West,5.4809223574282,12.69623310329,1.98980025144359,16.6246478873239,20.45625,13.25625,4729.67902776817,1.00777777777778,0.0799999999999999,0.05162,0.141047315268861,0.0799283154121864,3.53763333333333,0.675618349242311,0.290824372759857,34.0405233333333,-118.92273
Point Dume,3.14983410792186,8.02798725869758,0.965490581907035,17.3090425531915,21.54375,14.00625,967.197269799257,0.333888888888889,0.0755555555555557,0.813986666666667,0.540364286883534,0.416272401433692,3.67312666666667,0.605578338356406,0.214623655913979,33.9985533333333,-118.8071013
Point Loma Central,5.97265668538093,15.0929594998332,1.38160762497639,18.0214019851117,22.9875,14.64375,7811.40105492304,1.36277777777778,0.206111111111111,0.00726,0.0250131214530138,0.0135483870967742,3.85405666666667,0.293548668968433,0.142921146953405,32.709845,-117.267065
PVR 2A,4.39980311425733,12.1784798613713,0.678161841752082,17.9289473684211,21.225,15.1125,2328.40448519006,2.51666666666667,0.280555555555556,0.387091666666667,0.25152593725082,0.203942652329749,3.048375,0.706292005828073,0.238709677419355,33.7234,-118.34996
PVR 2B,4.39980311425733,12.1784798613713,0.678161841752082,17.9289473684211,21.225,15.1125,2275.90623816499,2.44166666666667,0.2,0.309141666666667,0.273398253563747,0.249820788530466,2.82,0.473927424036521,0.162724014336918,33.72278,-118.34978
PVR 2C,4.39980311425733,12.1784798613713,0.678161841752082,17.9289473684211,21.225,15.1125,2284.25794072636,0.194444444444444,0.00833333333333333,0.231175,0.256143209116887,0.213799283154122,3.25810833333333,0.799812841128178,0.410931899641577,33.72254,-118.3491
PVR 4B,4.39980311425733,12.1784798613713,0.678161841752082,17.9289473684211,21.225,15.1125,2313.18470305875,2.88611111111111,0.363888888888889,0.260758333333333,0.273531961496409,0.24910394265233,3.27421666666667,0.752919704701482,0.241397849462366,33.72156,-118.3467833
PVR 4C,4.39980311425733,12.1784798613713,0.678161841752082,17.9289473684211,21.225,15.1125,2275.0239378135,1.59166666666667,0.283333333333333,0.317216666666667,0.297612601012374,0.248028673835126,2.96508333333333,0.368049583910184,0.160035842293907,33.7211,-118.3467384
PVR 5A,4.39980311425733,12.1784798613713,0.678161841752082,17.9289473684211,21.225,15.1125,2368.18211873783,3.37777777777778,0.438888888888889,0.311808333333333,0.312084025244349,0.266308243727599,3.064525,0.709461817811641,0.292293906810036,33.72157,-118.34582
PVR 5B,4.39980311425733,12.1784798613713,0.678161841752082,17.9289473684211,21.225,15.1125,2341.76216823442,2.28888888888889,0.430555555555556,0.172041666666667,0.281343592097763,0.225268817204301,2.84678333333333,0.406041651301747,0.17078853046595,33.72099,-118.3454
PVR 5C,4.39980311425733,12.1784798613713,0.678161841752082,17.9289473684211,21.225,15.1125,2303.25052031072,1.65,0.341666666666667,0.169366666666667,0.253737266830141,0.218279569892473,2.90319166666667,0.229356175198792,0.12168458781362,33.72046,-118.34526
PVR 6A,4.39980311425733,12.1784798613713,0.678161841752082,17.9289473684211,21.225,15.1125,2430.07885867219,4.775,0.675,0.274175,0.285114701536954,0.239784946236559,2.94899166666667,0.683511489579652,0.303046594982079,33.72102,-118.34388
PVR 6C,4.39980311425733,12.1784798613713,0.678161841752082,17.9289473684211,21.225,15.1125,2338.54041450028,0.255555555555556,0.0583333333333333,0.395166666666667,0.272217983020428,0.231362007168459,2.71774166666667,0.330012929879911,0.149462365591398,33.71998,-118.34387
PVR 7A,4.39980311425733,12.1784798613713,0.678161841752082,17.9289473684211,21.225,15.1125,2447.58688869096,3.61111111111111,0.525,0.244616666666667,0.27770587138312,0.223297491039427,3.102225,0.743662749944369,0.376344086021505,33.7204,-118.3424
PVR 7B,4.39980311425733,12.1784798613713,0.678161841752082,17.9289473684211,21.225,15.1125,2424.96988256457,2.03888888888889,0.255555555555556,0.23655,0.245694281306202,0.206093189964158,3.0081,0.729104803212845,0.42921146953405,33.72019,-118.34245
PVR 7C,4.39980311425733,12.1784798613713,0.678161841752082,17.9289473684211,21.225,15.1125,2375.93833233621,0,0,0.266133333333333,0.310337732203444,0.221863799283154,3.02688333333333,0.587766294260767,0.372222222222222,33.71962,-118.34231
PVR 8A,4.39980311425733,12.1784798613713,0.678161841752082,17.9289473684211,21.225,15.1125,2443.35157840985,1.41111111111111,0.319444444444444,0.268825,0.325040595529771,0.258243727598566,3.457,0.709428536475098,0.376881720430107,33.7193,-118.34009
PVR 8B,4.39980311425733,12.1784798613713,0.678161841752082,17.9289473684211,21.225,15.1125,2377.17356446203,0.0194444444444444,0.0111111111111111,0.268816666666667,0.317559363015309,0.268996415770609,3.26883333333333,0.643176675721002,0.347670250896057,33.71884,-118.34057
PVR 8C,4.39980311425733,12.1784798613713,0.678161841752082,17.9289473684211,21.225,15.1125,2338.68459037314,0,0,0.258075,0.345171947424047,0.276164874551971,3.50004166666667,0.736316146825206,0.367383512544803,33.71836,-118.34039
San Mateo Kelp,5.96659721285564,14.603496366255,1.36619756907977,18.1334745762712,23.4642857142857,14.4,5289.8247657438,0.00333333333333333,0.0025,0.04356,0.095666175852625,0.0651612903225805,3.0355,0.609685607481722,0.461827956989248,33.384795,-117.608125
SBI - Cat Canyon,1.39776946098424,3.74083764098519,0.327905222178717,17.1513157894737,21.4875,14.75625,2287.99992200285,3.01614583333333,0.616666666666667,0.475821875,0.358219332625692,0.196639784946236,3.4919125,0.578779268951064,0.369489247311828,33.46407275,-119.04495925
SBI - Southeast Reef,1.29430154562122,6.57398620689687,0.217820074590827,17.4970588235294,22.5,13.875,1698.60226704138,1.89479166666667,0.45,0.42238125,0.136993143709281,0.0836693548387096,3.69459375,0.418463891528467,0.225739247311828,33.4635525,-119.0287775
SBI - Southeast Sealion,1.32302347223213,3.69971128540531,0.253615618728328,17.5158227848101,22.0125,14.15625,2229.68986232895,2.09236111111111,0.464583333333333,0.00807083333333333,0.034973044149962,0.0155913978494624,3.18282083333333,0.787932762886905,0.421774193548387,33.4690033333333,-119.0285
SBI - Sutil,1.39776946098424,3.74083764098519,0.327905222178717,17.1513157894737,21.4875,14.75625,2505.88796155512,2.59791666666667,0.657812500000001,0.62901875,0.415084760921686,0.319422043010753,3.718746875,0.379305356512633,0.219690860215054,33.46542175,-119.04858575
SCAI - Cat Harbor,1.06402500954296,3.38369004700042,0.313384627458502,18.3057692307692,22.5214285714286,14.7,2943.70883879955,0.19,0.0577777777777778,0.0946266666666667,0.127267443381943,0.0913978494623655,2.5774,0.687210775757958,0.531111111111111,33.4258257333333,-118.5113884
SCAI - China Point,1.50159451658851,4.56186954566155,0.306879651990438,17.634375,20.8928571428571,15.2785714285714,2771.30603962983,3.1875,0.509722222222222,0.745966666666667,0.488025423699511,0.369086021505376,3.79973333333333,0.410749934313967,0.205107526881721,33.3299366666667,-118.469496666667
SCAI - Indian Rock,0.66954833650901,1.62542196742925,0.31926383420205,18.688,22.89375,15.075,1993.13856623578,0.892083333333332,0.103333333333333,0.42701375,0.405088604848277,0.291021505376344,3.58107625,0.618548969842051,0.350295698924731,33.46855,-118.5242775
SCAI - Salta Verde,0.907770505986389,3.19208467842878,0.290349220773587,18.575,23.00625,14.90625,2369.39748155682,2.66041666666666,0.297222222222222,0.211029166666667,0.317687854188472,0.230555555555556,3.415375,0.729412135165852,0.476344086021505,33.3146746666667,-118.421996
SCAI - Ship Rock,0.656995133274203,3.46722609184414,0.308752880889933,18.523777173913,22.74375,15,789.408849520078,1.28625,0.228333333333333,0.7169375,0.43238820914481,0.36241935483871,3.54679,0.300731162732989,0.221129032258065,33.4635425,-118.49187
South La Jolla,5.23745352944332,20.0043915907407,0.999682159072987,18.1524916943522,23.04375,14.5125,6305.70348331653,0.517083333333334,0.0316666666666667,0.0201625,0.0423911468476466,0.0301612903225806,3.6193775,0.527714703431459,0.244677419354839,32.81285,-117.286525
Swami's,5.14287544178432,14.3676934545655,1.14962377873933,18.2087628865979,22.6071428571429,14.5714285714286,3934.58026881935,0.212777777777778,0.0305555555555556,0.0376333333333333,0.07950824894245,0.0531899641577062,3.79142,0.404453080743287,0.130250896057348,33.0358266666667,-117.30076
PVR 4D,4.39980311425733,12.1784798613713,0.678161841752082,17.9289473684211,21.225,15.1125,2326.98118551918,1.89166666666667,0.236111111111111,0.29677,0.328463014488668,0.246666666666667,3.40966,0.63099559583713,0.255268817204301,33.72197,-118.3472053
PVR 6D,4.39980311425733,12.1784798613713,0.678161841752082,17.9289473684211,21.225,15.1125,2383.27686674364,2.01388888888889,0.416666666666667,0.28711,0.386281440275921,0.35505376344086,3.27741,0.652043902360688,0.341935483870968,33.72051,-118.34391
