Taxa,CommonName,Family
Abudefduf troschelii,Panamic Sergeant Major,Pomacentridae
Acanthogobius flavimanus,Yellowfin Goby,Gobiidae
Acipenser transmontanus,White Sturgeon,Acipenseridae
Agonidae,poachers,Agonidae
Agonopsis sterletus,Southern Spearnose Poacher,Agonidae
Agonopsis vulsa,Northern Spearnose Poacher,Agonidae
Agonus acipenserinus,Sturgeon Poacher,Agonidae
Albula gilberti,Cortez Bonefish,Albulidae
Alepocephalus tenebrosus,California Slickhead,Alepocephalidae
Alloclinus holderi,Island Kelpfish,Labrisomidae
Alopias vulpinus,Thresher Shark,Alopiidae
Alosa sapidissima,American Shad,Clupeidae
Amphistichus argenteus,Barred Surfperch,Embiotocidae
Amphistichus koelzi,Calico Surfperch,Embiotocidae
Amphistichus rhodoterus,Redtail Surfperch,Embiotocidae
Anarrhichthys ocellatus,Wolf-Eel,Anarhichadidae
Anchoa compressa,Deepbody Anchovy,Engraulidae
Anchoa delicatissima,Slough Anchovy,Engraulidae
Anisotremus davidsonii,Sargo,Haemulidae
Anoplopoma fimbria,Sablefish,Anoplopomatidae
Apodichthys flavidus,Penpoint Gunnel,Pholidae
Apodichthys fucorum,Rockweed Gunnel,Pholidae
Apodichthys sactaerosae,Kelp Gunnel,Pholidae
Apogon guadalupensis,Guadalupe Cardinalfish,Apogonidae
Apristurus brunneus,Brown Catshark,Scyliorhinidae
Argentina sialis,Pacific Argentine,Argentinidae
Artedius corallinus,Coralline Sculpin,Cottidae
Artedius harringtoni,Scalyhead Sculpin,Cottidae
Artedius lateralis,Smoothhead Sculpin,Cottidae
Artedius notospilotus,Bonyhead Sculpin,Cottidae
Artedius sp.,sculpin,Cottidae
Artedius Type 16,sculpin,Cottidae
Atheresthes stomias,Arrowtooth Flounder,Pleuronectidae
Atherinidae,Old World Silversides,Atherinidae
Atherinops affinis,Topsmelt,Atherinopsidae
Atherinops affinis < 100 mm SL,Topsmelt,Atherinopsidae
Atherinopsidae,New World Silversides,Atherinopsidae
Atherinopsis californiensis,Jacksmelt,Atherinopsidae
Atractoscion nobilis,White Seabass,Sciaenidae
Aulorhynchus flavidus,Tubesnout,Aulorhynchidae
Azurina hirundo,Swallow Damselfish,Pomacentridae
Bairdiella icistia,Bairdiella,Sciaenidae
Baitball,unidentified bait fish,NA
Balistes polylepis,Finescale Triggerfish,Balistidae
Bathylagidae sp.,Deepsea Smelt,Bathylagidae
Bathylagus ochotensis,Popey Blacksmelt,Bathylagidae
Bathymasteridae sp.,ronquil,Bathymasteridae
Bathyraja interrupta,Sandpaper Skate,Rajidae
Blenniidae,blenny,Blenniidae
Bodianus diplotaenia,Mexican Hogfish,Labridae
Bothidae,lefteye flounders,Bothidae
Bothragonus swanii,Rockhead,Agonidae
Brachyistius frenatus,Kelp Perch,Embiotocidae
Brosmophycis marginata,Red Brotula,Bythitidae
Caelorinchus scaphopsis,Shoulderspot Grenadier,Macrouridae
Carangidae,jacks,Carangidae
Carcharhinus obscurus,Dusky Shark,Carcharhinidae
Careproctus melanurus,Blacktail Snailfish,Liparidae
Caulolatilus princeps,Ocean Whitefish,Malacanthidae
Cebidichthys violaceus,Monkeyface Prickleback,Stichaeidae
Cephaloscyllium ventriosum,Swell Shark,Scyliorhinidae
Chaenopsis alepidota,Orangethroat Pikeblenny,Chaenopsidae
Chaetodon humeralis,Threebanded Butterflyfish,Chaetodontidae
Cheilopogon pinnatibarbatus,California Flyingfish,Exocoetidae
Cheilotrema saturnum,Black Croaker,Sciaenidae
Chilara taylori,Spotted Cusk-Eel,Ophidiidae
Chilomycterus reticulatus,Spotfin Burrfish,Diodontidae
Chirolophis nugator,Mosshead Warbonnet,Stichaeidae
Chitonotus pugetensis,Roughback Sculpin,Cottidae
Chromis alta,Silverstripe Chromis,Pomacentridae
Chromis punctipinnis,Blacksmith,Pomacentridae
Chromis sp.,Chromis,Pomacentridae
Citharichthys sordidus,Pacific Sanddab,Paralichthyidae
Citharichthys sp.,sanddab,Paralichthyidae
Citharichthys stigmaeus,Speckled Sanddab,Paralichthyidae
Citharichthys xanthostigma,Longfin Sanddab,Paralichthyidae
Clevelandia ios,Arrow Goby,Gobiidae
Clinidae,kelp blennies,Clinidae
Clinidae Type A,Kelpfish Type A,Clinidae
Clinidae Type B,Kelpfish Type B,Clinidae
Clinidae Type C,Kelpfish Type C,Clinidae
Clinidae Type D,Kelpfish Type D,Clinidae
Clinocottus analis,Wooly Sculpin,Cottidae
Clupeidae,herrings,Clupeidae
Clupeiformes,herrings and anchovies,NA
Cololabis saira,Pacific Saury,Scomberesocidae
Cosmocampus arctus,Snubnose Pipefish,Syngnathidae
Cottidae,sculpins,Cottidae
Cottidae Type A,Sculpin Type A,Cottidae
Cottidae Type B,Sculpin Type B,Cottidae
Cottidae Type E,Sculpin Type E,Cottidae
Cottus asper,Prickly Sculpin,Cottidae
Cryptotrema corallinum,Deepwater Blenny,Labrisomidae
Cyclopteridae,lumpfishes,Cyclopteridae
Cymatogaster aggregata,Shiner Perch,Embiotocidae
Cynoscion parvipinnis,Shortfin Corvina,Sciaenidae
Cynoscion xanthulus,Orangemouth Corvina,Sciaenidae
Cypselurus sp.,flyingfish,Exocoetidae
Damalichthys vacca,Pile Perch,Embiotocidae
Dasyatis dipterura,Diamond Stingray,Dasyatidae
Decapterus macarellus,Mackerel Scad,Carangidae
decomposed,decomposed,NA
Diaphus theta,California Headlightfish,Myctophidae
Dolichopteryx longipes,Brownsnout Spookfish,Opisthoproctidae
Dorosoma petenense,Threadfin Shad,Clupeidae
Echinorhinus cookei,Prickly Shark,Echinorhinidae
Embassichthys bathybius,Deepsea Sole,Pleuronectidae
Embiotoca jacksoni,Black Perch,Embiotocidae
Embiotoca lateralis,Striped Seaperch,Embiotocidae
Embiotocidae,surfperches,Embiotocidae
Engraulidae,anchovies,Engraulidae
Engraulidae/Atherinopsidae/Clupeidae,unidentified bait fish,NA
Engraulis mordax,Northern Anchovy,Engraulidae
Engraulis mordax eggs,Northern Anchovy eggs,Engraulidae
Enophrys bison,Buffalo Sculpin,Cottidae
Enophrys taurina,Bull Sculpin,Cottidae
Eopsetta jordani,Petrale Sole,Pleuronectidae
Epinephelus labriformis,Flag Cabrilla,Serranidae
Eptatretus sp.,hagfish,Myxinidae
Eptatretus stoutii,Pacific Hagfish,Myxinidae
Ernogrammus walkeri,Masked Prickleback,Stichaeidae
Etrumeus teres,Round Herring,Clupeidae
Exocoetidae,flyingfishes,Exocoetidae
Fodiator acutus,Sharpchin Flyingfish,Exocoetidae
Fundulus parvipinnis,California Killifish,Fundulidae
Gadus macrocephalus,Pacific Cod,Gadidae
Galeorhinus galeus,Tope Shark,Triakidae
Gasterosteus aculeatus,Three-Spined Stickleback,Gasterosteidae
Genyonemus lineatus,White Croaker,Sciaenidae
Gibbonsia elegans,Spotted Kelpfish,Clinidae
Gibbonsia metzi,Striped Kelpfish,Clinidae
Gibbonsia montereyensis,Crevice Kelpfish,Clinidae
Gibbonsia sp.,kelp blenny,Clinidae
Gibbonsia Type A,Kelpfish Type A,Clinidae
Gibbonsia Type B,Kelpfish Type B,Clinidae
Gibbonsia Type C,Kelpfish Type C,Clinidae
Gillichthys mirabilis,Longjaw Mudsucker,Gobiidae
Girella nigricans,Opaleye,Kyphosidae
Glyptocephalus zachirus,Rex Sole,Pleuronectidae
Gobiesocidae,clingfishes,Gobiesocidae
Gobiesocidae Type A,Clingfish Type A,Gobiesocidae
Gobiesox maeandricus,Northern Clingfish,Gobiesocidae
Gobiesox rhessodon,California Clingfish,Gobiesocidae
Gobiidae,gobies,Gobiidae
Gobiidae Type A/C,Goby Type A/C,Gobiidae
Gobiidae Type D,Goby Type D,Gobiidae
Gymnothorax mordax,California Moray,Muraenidae
Gymnura marmorata,California Butterfly Ray,Gymnuridae
Haemulidae,grunts,Haemulidae
Haemulon californiensis,Salema,Haemulidae
Halichoeres semicinctus,Rock Wrasse,Labridae
Hemilepidotus hemilepidotus,Red Irish Lord,Cottidae
Hermosilla azurea,Zebraperch,Kyphosidae
Heterodontus francisci,Horn Shark,Heterodontidae
Heterostichus rostratus,Giant Kelpfish,Clinidae
Hexagrammidae,combfishes,Hexagrammidae
Hexagrammos decagrammus,Kelp Greenling,Hexagrammidae
Hexagrammos lagocephalus,Rock Greenling,Hexagrammidae
Hexagrammos stelleri,Whitespotted Greenling,Hexagrammidae
Hexanchus griseus,Bluntnose Sixgill Shark,Hexanchidae
Hippocampus ingens,Pacific Seahorse,Syngnathidae
Hippoglossina stomata,Bigmouth Sole,Paralichthyidae
Hippoglossus stenolepis,Pacific Halibut,Pleuronectidae
Hydrolagus colliei,Spotted Ratfish,Chimaeridae
Hyperprosopon anale,Spotfin Surfperch,Embiotocidae
Hyperprosopon argenteum,Walleye Surfperch,Embiotocidae
Hyperprosopon ellipticum,Silver Surfperch,Embiotocidae
Hyporhamphus rosae,California Halfbeak,Hemiramphidae
Hypsoblennius gentilis,Bay Blenny,Blenniidae
Hypsoblennius gilberti,Rockpool Blenny,Blenniidae
Hypsoblennius jenkinsi,Mussel Blenny,Blenniidae
Hypsoblennius sp.,blenny,Blenniidae
Hypsurus caryi,Rainbow Seaperch,Embiotocidae
Hypsypops rubicundus,Garibaldi,Pomacentridae
Icelinus burchami,Dusky Sculpin,Cottidae
Icelinus filamentosus,Threadfin Sculpin,Cottidae
Icelinus quadriseriatus,Yellowchin Sculpin,Cottidae
Icelinus sp.,sculpin,Cottidae
Icelinus tenuis,Spotfin Sculpin,Cottidae
Icelinus/Chitonotus,sculpin,Cottidae
Icelinus/Orthonopias,sculpin,Cottidae
Icosteus aenigmaticus,Ragfish,Icosteidae
Ilypnus gilberti,Cheekspot Goby,Gobiidae
Isopsetta isolepis,Butter Sole,Pleuronectidae
Jordania zonope,Longfin Sculpin,Cottidae
Kasatkia seigeli,Six-Spot Prickleback,Stichaeidae
Kathetostoma averruncus,Smooth Stargazer,Uranoscopidae
Kyphosidae,sea chubs,Kyphosidae
Kyphosus elegans,Cortez Sea Chub,Kyphosidae
Kyphosus vaigiensis,Blue-Bronze Chub,Kyphosidae
Labridae,wrasses,Labridae
Labrisomus xanti,Largemouth Blenny,Labrisomidae
Lampetra tridentata,Pacific Lamprey,Petromyzontidae
larvae not well preserved,larvae not well preserved,NA
larval fragments,larval fragments,NA
Leiocottus hirundo,Lavender Sculpin,Cottidae
Lepidogobius lepidus,Bay Goby,Gobiidae
Lepidopsetta bilineata,Rock Sole,Pleuronectidae
Leptocottus armatus,Pacific Staghorn Sculpin,Cottidae
Lethops connectens,Halfblind Goby,Gobiidae
Leuresthes tenuis,California Grunion,Atherinopsidae
Leuroglossus schmidti,Northern Smoothtongue,Bathylagidae
Leuroglossus stilbius,California Smoothetongue,Bathylagidae
Liparidae,snailfish,Liparidae
Liparis mucosus,Slimy Snailfish,Liparidae
Lumpenopsis clitella,Saddled Prickleback,Stichaeidae
Lycenchelys crotalinus,Snakehead Eelpout,Zoarcidae
Lycodapus mandibularis,Pallid Eelpout,Zoarcidae
Lycodes cortezianus,Bigfin Eelpout,Zoarcidae
Lycodes diapterus,Black Eelpout,Zoarcidae
Lycodes pacificus,Blackbelly Eelpout,Zoarcidae
Lyconema barbatum,Bearded Eelput,Zoarcidae
Lyopsetta exilis,Slender Sole,Pleuronectidae
Lythrypnus dalli,Bluebanded Goby,Gobiidae
Lythrypnus sp.,goby,Gobiidae
Lythrypnus zebra,Zebra Goby,Gobiidae
Macroramphosus gracilis,Slender Snipefish,Centriscidae
Macrouridae,grenadiers,Macrouridae
Medialuna californiensis,Halfmoon,Kyphosidae
Menidia beryllina,Inland Silverside,Atherinopsidae
Menticirrhus undulatus,California Corbina,Sciaenidae
Merlucciidae,hake,Merlucciidae
Merluccius productus,Pacific Hake,Merlucciidae
Micrometrus minimus,Dwarf Perch,Embiotocidae
Microstomus pacificus,Dover Sole,Pleuronectidae
Mola mola,Ocean Sunfish,Molidae
Moridae,codlings,Moridae
Morone saxatilis,Striped Bass,Moronidae
Mugil cephalus,Flathead Mullet,Mugilidae
Mustelus californicus,Grey Smooth-Hound,Triakidae
Mustelus henlei,Brown Smooth-Hound,Triakidae
Mustelus sp.,smoothhound,Triakidae
Mycteroperca jordani,Gulf Grouper,Serranidae
Mycteroperca xenarcha,Broomtail Grouper,Serranidae
Myctophidae,lanternfishes,Myctophidae
Myliobatis californica,Bat Ray,Myliobatidae
Nannobranchium ritteri,Broadfin Lanternfish,Myctophidae
Nautichthys oculofasciatus,Sailfin Sculpin,Hemitripteridae
Nemichthyidae,snipe eels,Nemichthyidae
Neoclinus blanchardi,Sarcastic Fringehead,Chaenopsidae
Neoclinus sp.,fringeheads,Chaenopsidae
Neoclinus stephensae,Yellowfin Fringehead,Chaenopsidae
Neoclinus uninotatus,Onespot Firngehead,Chaenopsidae
net lost,net lost,NA
Nettastomatidae,duckbill eels,Nettastomatidae
Nezumia stelgidolepis,California Grenadier,Macrouridae
Nicholsina denticulata,Loosetooth Parrotfish,Scaridae
No fish,No fish,NA
no sample,no sample,NA
Notorynchus cepedianus,Broadnose Sevengill Shark,Hexanchidae
Odontopyxis trispinosa,Pygmy Poacher,Agonidae
Oligocottus rimensis,Saddleback Sculpin,Cottidae
Oligocottus snyderi,Fluffy Sculpin,Cottidae
Oligocottus/Clinocottus sp.,sculpin,Cottidae
Oligocottus/Clinocottus Type A,Sculpin Type A,Cottidae
Oligocottus/Clinocottus Type B,Sculpin Type B,Cottidae
Oligocottus/Clinocottus Type C,Sculpin Type C,Cottidae
Oncorhynchus keta,Chum Salmon,Salmonidae
Oncorhynchus kisutch,Coho Salmon,Salmonidae
Oncorhynchus nerka,Sockeye Salmon,Salmonidae
Oncorhynchus sp.,salmon,Salmonidae
Oncorhynchus tshawytscha,Chinook Salmon,Salmonidae
Ophidiidae,cusk-eels,Ophidiidae
Ophidion scrippsae,Basketweave Cusk-Eel,Ophidiidae
Ophiodon elongatus,Lingcod,Hexagrammidae
Opisthonema medirastre,Middling Thread Herring,Clupeidae
Opisthonema sp.,herrings,Clupeidae
Orthonopias triacis,Snubnose Sculpin,Cottidae
Oxyjulis californica,Senorita,Labridae
Oxylebius pictus,Painted Greenling,Hexagrammidae
Paraclinus integripinnis,Reef Finspot,Labrisomidae
Paralabrax clathratus,Kelp Bass,Serranidae
Paralabrax maculatofasciatus,Spotted Sand Bass,Serranidae
Paralabrax nebulifer,Barred Sand Bass,Serranidae
Paralabrax sp.,rock bass,Serranidae
Paralepididae,barracudina,Paralepididae
Paralichthys californicus,California Halibut,Paralichthyidae
Paralichthys/Xystreurys,flounder/halibut/sole,Paralichthyidae
Paranthias colonus,Pacific Creolefish,Serranidae
Pareques viola,Rock Croaker,Sciaenidae
Paricelius hopliticus,Thornback Sculpin,Cottidae
Parophrys vetulus,English Sole,Pleuronectidae
Peprilus simillimus,Pacific Pompano,Stromateidae
Phanerodon atripes,Sharpnose Seaperch,Embiotocidae
Phanerodon furcatus,White Seaperch,Embiotocidae
Phanerodon sp.,seaperch,Embiotocidae
Pholidae,gunnels,Pholidae
Pholis gunnellus,Rock Gunnel,Pholidae
Plagiotremus azaleus,Sabertooth Blenny,Blenniidae
Platichthys stellatus,Starry Flounder,Pleuronectidae
Platyrhinoidis triseriata,Thornback,Rhinobatidae
Plectobranchus evides,Bluebarred Prickleback,Stichaeidae
Pleuronectidae,righteye flounders,Pleuronectidae
Pleuronectiformes,flounders/turbots/soles/tonguefishes,NA
Pleuronichthys coenosus,C-O Sole,Pleuronectidae
Pleuronichthys decurrens,Curlfin Sole,Pleuronectidae
Pleuronichthys guttulatus,Diamond Turbot,Pleuronectidae
Pleuronichthys ritteri,Spotted Turbot,Pleuronectidae
Pleuronichthys verticalis,Hornyhead Turbot,Pleuronectidae
Polydactylus approximans,Blue Bobo,Polynemidae
Pomacentridae,damselfishes,Pomacentridae
Porichthys myriaster,Specklefin Midshipman,Batrachoididae
Porichthys notatus,Plainfin Midshipman,Batrachoididae
Porichthys sp.,midshipman,Batrachoididae
Prionace glauca,Blue Shark,Carcharhinidae
Pristigenys serrula,Popeye Catalufa,Priacanthidae
Prognathodes falcifer,Scythe Butterflyfish,Chaetodontidae
Pronotogrammus multifasciatus,Threadfin Bass,Serranidae
Psettichthys melanostictus,Sand Sole,Pleuronectidae
Pseudupeneus grandisquamis,Bigscale Goatfish,Mullidae
Quietula y-cauda,Shadow Goby,Gobiidae
Radulinus asprellus,Slim Sculpin,Cottidae
Raja binoculata,Big Skate,Rajidae
Raja inornata,California Skate,Rajidae
Raja rhina,Longnose Skate,Rajidae
Raja sp.,skate,Rajidae
Raja stellulata,Starry Skate,Rajidae
Rathbunella alleni,Stripefin Ronquil,Bathymasteridae
Rathbunella hypoplecta,Bluebanded Ronquil,Bathymasteridae
Rathbunella sp.,ronquil,Bathymasteridae
Rhacochilus toxotes,Rubberlip Seaperch,Embiotocidae
Rhamphocottus richardsonii,Grunt Sculpin,Rhamphocottidae
Rhinobatos productus,Shovelnose Guitarfish,Rhinobatidae
Rhinogobiops nicholsii,Blackeye Goby,Gobiidae
Rimicola eigenmanni,Slender Clingfish,Gobiesocidae
Rimicola muscarum,Kelp Clingfish,Gobiesocidae
Rimicola sp.,clingfish,Gobiesocidae
Roncador stearnsii,Spotfin Croaker,Sciaenidae
Ronquilus jordani,Northern Ronquil,Bathymasteridae
Ruscarius creaseri,Roughcheek Sculpin,Cottidae
S. atrovirens/carnatus/chrysomelas(YOY),Kelp/Gopher/Black-And-Yellow Rockfish (Yoy),Scorpaenidae
S. carnatus/chrysomelas/caurinus(YOY),Gopher/Black-And-Yellow/Copper Rockfish (Yoy),Scorpaenidae
S. serranoides/flavidus(YOY),Olive/Yellowtail Rockfish (Yoy),Scorpaenidae
S. serranoides/mystinus(YOY),Olive/Blue Rockfish (Yoy),Scorpaenidae
sample lost/jar broken,sample lost/jar broken,NA
Sarda chiliensis,Pacific Bonito,Scombridae
Sardinops sagax,Pacific Sardine,Clupeidae
Sciaenidae,drums and croakers,Sciaenidae
Sciaenidae Complex 1,Croaker Complex 1,Sciaenidae
Sciaenidae Complex 2,Croaker Complex 2,Sciaenidae
Scomber japonicus,Pacific Chub Mackerel,Scombridae
Scomberomorus sierra,Pacific Sierra,Scombridae
Scombridae,Scombridae,Scombridae
Scorpaena guttata,California Scorpionfish,Scorpaenidae
Scorpaenichthys marmoratus,Cabezon,Cottidae
Scorpaenidae,scorpionfishes,Scorpaenidae
Scorpaenodes xyris,Rainbow Scorpionfish,Scorpaenidae
Scyliorhinidae,cat sharks,Scyliorhinidae
Sebastes aleutianus,Rougheye Rockfish,Sebastidae
Sebastes alutus,Pacific Ocean Perch,Sebastidae
Sebastes atrovirens,Kelp Rockfish,Sebastidae
Sebastes auriculatus,Brown Rockfish,Sebastidae
Sebastes aurora,Aurora Rockfish,Sebastidae
Sebastes babcocki,Redbanded Rockfish,Sebastidae
Sebastes brevispinis,Silvergrey Rockfish,Sebastidae
Sebastes carnatus,Gopher Rockfish,Sebastidae
Sebastes caurinus,Copper Rockfish,Sebastidae
Sebastes chlorostictus,Greenspotted Rockfish,Sebastidae
Sebastes chrysomelas,Black-And-Yellow Rockfish,Sebastidae
Sebastes chrysomelas/S. carnatus(YOY),Black-And-Yellow/Gopher Rockfish (YOY),Sebastidae
Sebastes ciliatus,Dusky Rockfish,Sebastidae
Sebastes constellatus,Starry Rockfish,Sebastidae
Sebastes crameri,Darkblotched Rockfish,Sebastidae
Sebastes dallii,Calico Rockfish,Sebastidae
Sebastes diploproa,Spitnose Rockfish,Sebastidae
Sebastes elongatus,Greenstriped Rockfish,Sebastidae
Sebastes emphaeus,Puget Sound Rockfish,Sebastidae
Sebastes ensifer,Swordspine Rockfish,Sebastidae
Sebastes entomelas,Widow Rockfish,Sebastidae
Sebastes eos,Pink Rockfish,Sebastidae
Sebastes flavidus,Yellowtail Rockfish,Sebastidae
Sebastes gilli,Bronzespotted Rockfish,Sebastidae
Sebastes goodei,Chilipepper,Sebastidae
Sebastes helvomaculatus,Rosethorn Rockfish,Sebastidae
Sebastes hopkinsi,Squarespot Rockfish,Sebastidae
Sebastes jordani,Shortbelly Rockfish,Sebastidae
Sebastes juv-brown complex,Kelp/Brown/Grass Rockfish juv,Sebastidae
Sebastes lentiginosus,Freckled Rockfish,Sebastidae
Sebastes levis,Cowcod,Sebastidae
Sebastes macdonaldi,Mexican Rockfish,Sebastidae
Sebastes maliger,Quillback Rockfish,Sebastidae
Sebastes melanops,Black Rockfish,Sebastidae
Sebastes melanosema,Semaphore Rockfish,Sebastidae
Sebastes melanostomus,Blackgill Rockfish,Sebastidae
Sebastes miniatus,Vermilion Rockfish,Sebastidae
Sebastes moseri,Whitespotted Rockfish,Sebastidae
Sebastes mystinus,Blue Rockfish,Sebastidae
Sebastes nebulosus,China Rockfish,Sebastidae
Sebastes nigrocinctus,Tiger Rockfish,Sebastidae
Sebastes ovalis,Speckled Rockfish,Sebastidae
Sebastes paucispinis,Bocaccio,Sebastidae
Sebastes phillipsi,Chameleon Rockfish,Sebastidae
Sebastes pinniger,Canary Rockfish,Sebastidae
Sebastes proriger,Redstripe Rockfish,Sebastidae
Sebastes rastrelliger,Grass Rockfish,Sebastidae
Sebastes rosaceus,Rosy Rockfish,Sebastidae
Sebastes rosenblatti,Greenblotched Rockfish,Sebastidae
Sebastes ruberrimus,Yelloweye Rockfish,Sebastidae
Sebastes rubrivinctus,Flag Rockfish,Sebastidae
Sebastes rufinanus,Dwarf-Red Rockfish,Sebastidae
Sebastes rufus,Bank Rockfish,Sebastidae
Sebastes saxicola,Stripetail Rockfish,Sebastidae
Sebastes semicinctus,Halfbanded Rockfish,Sebastidae
Sebastes serranoides,Olive Rockfish,Sebastidae
Sebastes serranoides/S. flavidus,Olive/Yellowtail Rockfish,Sebastidae
Sebastes serranoides/S. flavidus (YOY),Olive/Yellowtail Rockfish (YOYy),Sebastidae
Sebastes serriceps,Treefish,Sebastidae
Sebastes simulator,Pinkrose Rockfish,Sebastidae
Sebastes sp.,Rockfish,Sebastidae
Sebastes sp.(YOY),Rockfish YOY,Sebastidae
Sebastes umbrosus,Honeycomb Rockfish,Sebastidae
Sebastes wilsoni,Pygmy Rockfish,Sebastidae
Sebastes zacentrus,Sharpchin Rockfish,Sebastidae
Sebastolobus alascanus,Shortspine Thornyhead,Sebastidae
Sebastolobus altivelis,Longspine Thornyhead ,Sebastidae
Sebastolobus sp.,thornyhead,Sebastidae
Sebastomus,Sebastomus,Sebastidae
Sectator ocyurus,Bluestriped Chub,Kyphosidae
Semicossyphus pulcher,California Sheephead,Labridae
Semicossyphus pulcher -Female,California Sheephead - female,Labridae
Semicossyphus pulcher -Male,California Sheephead - male,Labridae
Seriola lalandi,Yellowtail Jack,Carangidae
Seriphus politus,Queenfish,Sciaenidae
Serranidae,sea basses and groupers,Serranidae
Sphyraena argentea,Pacific Barracuda,Sphyraenidae
Sphyrna lewini,Scalloped Hammerhead,Sphyrnidae
Squalus suckleyi,Pacific Spiny Dogfish,Squalidae
Squatina californica,Pacific Angel Shark,Squatinidae
Stegastes sp.,damselfish,Pomacentridae
Stenobrachius leucopsarus,Northern Lampfish,Myctophidae
Stereolepis gigas,Giant Sea Bass,Polyprionidae
Stichaeidae,pricklebacks,Stichaeidae
Stromateidae,butterfishes,Stromateidae
Strongylura exilis,California Needlefish,Belonidae
Symphurus atricaudus,California Tonguefish,Cynoglossidae
Synchirus gilli,Manacled Sculpin,Cottidae
Syngnathus auliscus,Barred Pipefish,Syngnathidae
Syngnathus californiensis,Kelp Pipefish,Syngnathidae
Syngnathus exilis,Barcheek Pipefish,Syngnathidae
Syngnathus leptorhynchus,Bay Pipefish,Syngnathidae
Syngnathus sp.,pipefish,Syngnathidae
Synodontidae,lizardfishes,Synodontidae
Synodus lucioceps,California Lizardfish,Synodontidae
Tarletonbeania crenularis,Blue Lanternfish,Myctophidae
Tetraodontidae,Tetraodontidae,Tetraodontidae
Tilapia sp.,Tilapia,Cichlidae
Torpedo californica,Pacific Electric Ray,Torpedinidae
total eggs,total eggs,NA
total juveniles,total juveniles,NA
total larvae,total larvae,NA
total zooplankton,total zooplankton,NA
Trachurus symmetricus,Jack Mackerel,Carangidae
Triakis semifasciata,Leopard Shark,Triakidae
Trichiuridae,scabbardfishes and cutlassfishes,Trichiuridae
Trichiurus nitens,Pacific Cutlassfish,Trichiuridae
Tridentiger trigonocephalus,Chameleon Goby,Gobiidae
Triphoturus mexicanus,Mexican Lampfish,Myctophidae
Triphoturus nigrescens,Highseas Lampfish,Myctophidae
Typhlogobius californiensis,Blind Goby,Gobiidae
Ulvicola sanctaerosae,Kelp Gunnel,Pholididae
Umbrina roncador,Yellowfin Croaker,Sciaenidae
unidentified eggs,unidentified eggs,NA
unidentified fish,unidentified fish,NA
unidentified larvae,unidentified larvae,NA
unknown,unknown,NA
unknown yolksac,unknown yolksac,NA
Urobatis halleri,Round Stingray,Urolophidae
vials missing,vials missing,NA
volumed unsorted,volumed unsorted,NA
Xeneretmus latifrons,Blacktip Poacher,Agonidae
Xeneretmus triacanthus,Bluespotted Poacher,Agonidae
Xiphister mucosus,Rock Prickleback,Stichaeidae
Xystreurys liolepis,Fantail Sole,Paralichthyidae
Zalembius rosaceus,Pink Seaperch,Embiotocidae
Zaniolepis frenata,Shortspine Combfish,Hexagrammidae
Zaniolepis latipinnis,Longspine Combfish,Hexagrammidae
Zaniolepis sp.,combfish,Hexagrammidae
Zapteryx exasperata,Banded Guitarfish,Rhinobatidae
Zoarcidae,eelpouts,Zoarcidae